#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
199 290.950000 1.375000 0.752167 0.009600 99573.383333 0.000000 
200 291.691667 1.766667 0.717833 0.009600 99559.858333 0.000001 
201 292.391667 2.075000 0.677417 0.009500 99585.458333 0.000001 
202 293.183333 2.375000 0.621750 0.009100 99555.358333 0.000000 
203 293.800000 2.766667 0.575750 0.008800 99505.191667 0.000000 
204 293.758333 2.983333 0.510583 0.007800 99490.450000 0.000000 
205 294.300000 2.725000 0.460083 0.007300 99425.975000 0.000000 
206 294.625000 2.333333 0.429417 0.006900 99374.641667 0.000000 
207 294.833333 2.208333 0.422417 0.006900 99314.583333 0.000000 
208 294.758333 2.016667 0.442167 0.007200 99256.975000 0.000000 
209 294.291667 1.908333 0.457750 0.007200 99226.075000 0.000000 
210 293.791667 1.900000 0.480083 0.007400 99226.633333 0.000000 
211 293.108333 1.716667 0.511333 0.007500 99259.075000 0.000000 
212 292.316667 1.516667 0.544250 0.007600 99266.400000 0.000000 
213 291.516667 1.225000 0.581833 0.007700 99169.633333 0.000000 
214 290.716667 1.016667 0.632667 0.008000 99155.483333 0.000000 
215 289.733333 1.091667 0.690167 0.008200 99136.483333 0.000000 
216 288.825000 1.375000 0.777500 0.008700 99149.100000 0.000000 
217 288.016667 1.583333 0.823500 0.008800 99165.800000 0.000000 
218 287.491667 1.416667 0.849917 0.008800 99180.308333 0.000001 
219 287.083333 1.400000 0.870333 0.008700 99193.600000 0.000002 
220 286.683333 1.400000 0.895833 0.008800 99240.991667 0.000017 
221 286.833333 1.858333 0.863167 0.008500 99284.250000 0.000017 
222 287.583333 2.541667 0.786667 0.008100 99311.358333 0.000010 
223 288.566667 3.425000 0.664500 0.007300 99341.183333 0.000003 
224 289.108333 4.325000 0.554083 0.006300 99376.975000 0.000000 
225 289.516667 4.858333 0.460667 0.005400 99426.200000 0.000000 
226 289.916667 5.816667 0.408083 0.004900 99429.666667 0.000000 
227 290.133333 5.991667 0.392083 0.004800 99489.641667 0.000000 
228 289.966667 5.816667 0.426750 0.005100 99503.441667 0.000000 
229 290.866667 4.883333 0.410750 0.005200 99537.933333 0.000000 
230 291.408333 4.158333 0.397083 0.005200 99555.483333 0.000000 
231 291.633333 3.458333 0.392333 0.005200 99586.408333 0.000000 
232 291.558333 2.666667 0.398417 0.005300 99606.516667 0.000000 
233 291.275000 1.866667 0.422833 0.005500 99622.216667 0.000000 
234 290.608333 1.891667 0.444250 0.005500 99679.875000 0.000000 
235 289.816667 2.358333 0.484500 0.005700 99760.900000 0.000000 
236 289.016667 2.583333 0.535667 0.006000 99824.083333 0.000000 
237 288.400000 2.600000 0.582167 0.006300 99920.866667 0.000000 
238 287.983333 2.600000 0.617167 0.006500 99975.125000 0.000000 
239 287.766667 2.325000 0.642000 0.006700 100017.800000 0.000000 
240 286.558333 2.575000 0.719167 0.006900 100047.058333 0.000000 
241 286.541667 2.600000 0.724167 0.006900 100076.166667 0.000000 
242 286.641667 2.233333 0.720333 0.007000 100070.716667 0.000000 
243 286.650000 1.741667 0.717250 0.006900 100086.683333 0.000000 
244 286.558333 1.516667 0.722500 0.006900 100112.125000 0.000000 
245 286.366667 0.950000 0.719333 0.006800 100131.716667 0.000000 
246 287.541667 0.625000 0.643833 0.006600 100177.391667 0.000000 
247 288.658333 0.416667 0.592083 0.006500 100174.800000 0.000000 
248 289.850000 0.766667 0.546750 0.006500 100162.833333 0.000000 
249 290.866667 1.258333 0.506333 0.006400 100228.625000 0.000000 
250 291.958333 1.666667 0.468167 0.006300 100195.008333 0.000000 
251 292.783333 2.341667 0.440250 0.006300 100165.183333 0.000000 
252 293.583333 2.400000 0.416000 0.006200 100144.558333 0.000000 
253 294.016667 2.400000 0.400250 0.006200 100110.633333 0.000000 
