#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
134 -0.000000 -0.000014 nan -0.000147 -0.000080 
135 -0.000000 -0.000014 nan -0.000119 -0.000066 
136 -0.000000 -0.000014 nan -0.000074 -0.000044 
137 -0.000000 -0.000014 nan -0.000039 -0.000027 
138 -0.000000 -0.000014 nan -0.000010 -0.000012 
139 -0.000000 -0.000014 nan 0.000003 -0.000006 
140 -0.000000 -0.000014 nan 0.000002 -0.000006 
141 -0.000000 -0.000014 nan 0.000002 -0.000006 
142 -0.000000 -0.000014 nan -0.000000 -0.000007 
143 -0.000000 -0.000014 nan -0.000001 -0.000007 
144 -0.000000 -0.000014 nan -0.000001 -0.000008 
145 -0.000000 -0.000014 nan -0.000001 -0.000007 
146 -0.000000 -0.000014 nan -0.000001 -0.000007 
147 -0.000000 -0.000014 nan -0.000001 -0.000007 
148 -0.000000 -0.000014 nan -0.000019 -0.000016 
149 -0.000000 -0.000014 nan -0.000033 -0.000023 
150 -0.000000 -0.000014 nan -0.000046 -0.000030 
151 -0.000000 -0.000014 nan -0.000065 -0.000039 
152 -0.000000 -0.000014 nan -0.000084 -0.000049 
153 -0.000000 -0.000014 nan -0.000117 -0.000066 
154 -0.000000 -0.000014 nan -0.000144 -0.000079 
155 -0.000000 -0.000015 nan -0.000159 -0.000087 
156 -0.000000 -0.000015 nan -0.000166 -0.000091 
157 -0.000000 -0.000016 nan -0.000167 -0.000091 
158 -0.000000 -0.000016 nan -0.000155 -0.000086 
159 -0.000000 -0.000016 nan -0.000115 -0.000066 
160 -0.000000 -0.000017 nan -0.000075 -0.000046 
161 -0.000000 -0.000017 nan -0.000033 -0.000025 
162 -0.000000 -0.000017 nan -0.000012 -0.000014 
163 -0.000000 -0.000017 nan 0.000003 -0.000007 
164 -0.000000 -0.000016 nan 0.000003 -0.000007 
165 -0.000000 -0.000016 nan 0.000003 -0.000007 
166 -0.000000 -0.000016 nan 0.000002 -0.000007 
167 -0.000000 -0.000016 nan 0.000002 -0.000007 
168 -0.000000 -0.000016 nan 0.000002 -0.000007 
169 -0.000000 -0.000016 nan 0.000002 -0.000007 
170 -0.000000 -0.000016 nan 0.000004 -0.000006 
