#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
287 -0.215265 -1.325697 
288 -0.213970 -1.298671 
289 -0.212728 -1.273390 
290 -0.211582 -1.250589 
291 -0.210485 -1.229216 
292 -0.209726 -1.214218 
293 -0.209964 -1.217677 
294 -0.210781 -1.230900 
295 -0.212121 -1.252871 
296 -0.214374 -1.291097 
297 -0.217499 -1.345514 
298 -0.221303 -1.412547 
299 -0.226032 -1.497110 
300 -0.230970 -1.588148 
301 -0.235020 -1.662317 
302 -0.238108 -1.717072 
303 -0.240917 -1.765254 
304 -0.242644 -1.790148 
305 -0.242911 -1.785103 
306 -0.242202 -1.760169 
307 -0.240723 -1.720521 
308 -0.239079 -1.679068 
309 -0.237406 -1.638180 
310 -0.235795 -1.599979 
311 -0.234243 -1.564171 
312 -0.232768 -1.531094 
313 -0.231438 -1.502003 
314 -0.230182 -1.475087 
315 -0.229071 -1.451678 
316 -0.228178 -1.432653 
317 -0.227995 -1.427657 
318 -0.228672 -1.439124 
319 -0.230461 -1.471825 
320 -0.233426 -1.527412 
321 -0.237416 -1.603552 
322 -0.242663 -1.705108 
323 -0.248833 -1.827852 
324 -0.255253 -1.951207 
325 -0.261501 -2.074538 
326 -0.267502 -2.196016 
327 -0.272313 -2.284041 
328 -0.275097 -2.328540 
329 -0.275881 -2.330516 
330 -0.275169 -2.298754 
331 -0.273360 -2.242183 
332 -0.271363 -2.184025 
333 -0.269436 -2.129766 
334 -0.267588 -2.079256 
335 -0.265803 -2.031821 
