#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
531 -0.078777 -0.115693 
532 -0.078570 -0.114933 
533 -0.078422 -0.114339 
534 -0.078370 -0.114052 
535 -0.078408 -0.114070 
536 -0.078511 -0.114298 
537 -0.078489 -0.113885 
538 -0.078303 -0.112833 
539 -0.078268 -0.112539 
540 -0.078370 -0.112740 
541 -0.078495 -0.113067 
542 -0.078681 -0.113636 
543 -0.078853 -0.114163 
544 -0.078941 -0.114402 
545 -0.078958 -0.114410 
546 -0.078846 -0.114041 
547 -0.078666 -0.113495 
548 -0.078482 -0.112940 
549 -0.078294 -0.112366 
550 -0.078104 -0.111779 
551 -0.077911 -0.111181 
552 -0.077710 -0.110551 
553 -0.077503 -0.109898 
554 -0.077301 -0.109280 
555 -0.077102 -0.108682 
556 -0.076919 -0.108122 
557 -0.076798 -0.107738 
558 -0.076780 -0.107666 
559 -0.076840 -0.107822 
560 -0.076977 -0.108182 
561 -0.077062 -0.108269 
562 -0.077576 -0.109755 
563 -0.078718 -0.113430 
564 -0.079355 -0.115360 
565 -0.079718 -0.116365 
566 -0.080040 -0.117211 
567 -0.080316 -0.117892 
568 -0.080529 -0.118374 
569 -0.080629 -0.118516 
570 -0.080563 -0.118209 
571 -0.080372 -0.117538 
572 -0.080107 -0.116595 
573 -0.079843 -0.115669 
574 -0.079580 -0.114758 
575 -0.079370 -0.114064 
576 -0.079177 -0.113445 
577 -0.078992 -0.112866 
578 -0.078804 -0.112275 
579 -0.078609 -0.111660 
580 -0.078430 -0.111087 
581 -0.078339 -0.110763 
582 -0.078365 -0.110798 
583 -0.078495 -0.111145 
584 -0.078710 -0.111730 
585 -0.078998 -0.112506 
586 -0.079612 -0.114371 
587 -0.080628 -0.117658 
588 -0.081368 -0.119920 
589 -0.081886 -0.121416 
590 -0.082320 -0.122604 
591 -0.082755 -0.123805 
592 -0.083082 -0.124669 
593 -0.083244 -0.124859 
594 -0.083189 -0.124417 
595 -0.082938 -0.123427 
596 -0.082801 -0.122981 
597 -0.082677 -0.122579 
598 -0.082546 -0.122159 
599 -0.082410 -0.121716 
600 -0.082266 -0.121250 
601 -0.082121 -0.120779 
602 -0.081971 -0.120289 
603 -0.081817 -0.119789 
604 -0.081686 -0.119350 
605 -0.081621 -0.118994 
606 -0.081656 -0.118957 
607 -0.081827 -0.119425 
608 -0.082091 -0.120175 
609 -0.082438 -0.121190 
610 -0.083062 -0.123203 
611 -0.083984 -0.126334 
612 -0.084612 -0.128317 
613 -0.085158 -0.129975 
614 -0.085622 -0.131342 
615 -0.085974 -0.132313 
616 -0.086173 -0.132783 
617 -0.086251 -0.132835 
618 -0.086139 -0.132241 
619 -0.085929 -0.131358 
620 -0.085687 -0.130345 
621 -0.085435 -0.129331 
622 -0.085241 -0.128654 
623 -0.084991 -0.127663 
624 -0.084673 -0.126344 
625 -0.084274 -0.124676 
626 -0.083860 -0.123009 
627 -0.083445 -0.121371 
628 -0.082941 -0.119275 
629 -0.082275 -0.116372 
630 -0.080772 -0.109240 
631 -0.079251 -0.102803 
632 -0.077308 -0.094808 
633 -0.075306 -0.087791 
634 -0.074934 -0.087592 
635 -0.074784 -0.087756 
636 -0.074742 -0.088076 
637 -0.074739 -0.088381 
638 -0.074753 -0.088644 
639 -0.074756 -0.088859 
640 -0.074770 -0.089074 
641 -0.074737 -0.089194 
642 -0.074600 -0.089123 
643 -0.074407 -0.088907 
644 -0.074215 -0.088676 
645 -0.074048 -0.088513 
646 -0.073886 -0.088360 
647 -0.073736 -0.088236 
648 -0.073623 -0.088208 
649 -0.073558 -0.088355 
650 -0.073492 -0.088470 
651 -0.073429 -0.088577 
652 -0.073382 -0.088697 
653 -0.073408 -0.088960 
654 -0.073530 -0.089467 
655 -0.073740 -0.090182 
656 -0.074022 -0.091053 
657 -0.074367 -0.092055 
658 -0.075082 -0.094102 
659 -0.076291 -0.097637 
660 -0.077042 -0.099783 
661 -0.077632 -0.101440 
662 -0.078171 -0.102947 
663 -0.078646 -0.104271 
664 -0.078989 -0.105218 
665 -0.079186 -0.105740 
666 -0.079224 -0.105843 
667 -0.079152 -0.105687 
668 -0.079073 -0.105517 
669 -0.078991 -0.105340 
