#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
168 290.966667 0.933333 0.975500 0.012900 96621.466667 0.000000 
169 290.583333 0.900000 0.987000 0.012700 96632.700000 0.000000 
170 290.916667 0.258333 0.991667 0.013100 96626.183333 0.000000 
171 290.216667 0.566667 0.996583 0.012600 96637.691667 0.000000 
172 290.700000 0.600000 0.995167 0.012900 96662.816667 0.000000 
173 291.941667 0.691667 0.978500 0.013800 96688.375000 0.000000 
174 294.341667 0.516667 0.834000 0.013600 96734.041667 0.000000 
175 295.100000 0.683333 0.801750 0.013700 96773.291667 0.000000 
176 295.975000 0.333333 0.772500 0.013900 96781.633333 0.000000 
177 296.875000 0.391667 0.731500 0.013900 96803.366667 0.000000 
178 297.866667 0.675000 0.712417 0.014400 96818.775000 0.000000 
179 298.225000 1.250000 0.704583 0.014500 96793.416667 0.000000 
180 297.883333 1.116667 0.720500 0.014600 96766.616667 0.000000 
181 298.033333 0.641667 0.724750 0.014800 96753.308333 0.000000 
182 297.958333 0.508333 0.728667 0.014800 96728.283333 0.000000 
183 297.858333 0.316667 0.732667 0.014800 96708.225000 0.000000 
184 297.850000 0.208333 0.728417 0.014700 96708.433333 0.000000 
185 297.666667 0.291667 0.744500 0.014900 96717.858333 0.000000 
186 296.641667 0.941667 0.823917 0.015500 96683.683333 0.000000 
187 294.716667 1.366667 0.856667 0.014300 96717.166667 0.000000 
188 293.083333 1.583333 0.890167 0.013400 96742.500000 0.000000 
189 292.308333 1.508333 0.902167 0.013000 96774.016667 0.000000 
190 291.883333 1.316667 0.912167 0.012800 96768.358333 0.000000 
191 291.300000 1.300000 0.927667 0.012500 96761.733333 0.000000 
192 290.700000 1.300000 0.940000 0.012200 96731.866667 0.000000 
193 290.283333 1.300000 0.948333 0.012000 96696.475000 0.000000 
194 289.791667 1.300000 0.955417 0.011700 96679.841667 0.000000 
195 289.475000 1.300000 0.958750 0.011500 96689.875000 0.000000 
196 290.275000 1.116667 0.953500 0.012100 96719.316667 0.000000 
197 293.466667 1.008333 0.903500 0.014000 96718.233333 0.000000 
198 296.133333 0.816667 0.799083 0.014500 96769.416667 0.000000 
199 298.183333 0.708333 0.710250 0.014600 96782.533333 0.000000 
200 299.908333 0.791667 0.625083 0.014200 96775.233333 0.000000 
201 301.241667 0.800000 0.555667 0.013700 96773.583333 0.000000 
202 302.266667 0.983333 0.519750 0.013600 96762.041667 0.000000 
203 303.175000 1.091667 0.491333 0.013500 96708.016667 0.000000 
204 303.800000 1.100000 0.465167 0.013300 96691.925000 0.000000 
205 304.216667 1.100000 0.443750 0.013000 96679.075000 0.000000 
206 304.341667 1.100000 0.435583 0.012800 96648.116667 0.000000 
207 304.166667 1.191667 0.455167 0.013300 96637.700000 0.000000 
208 302.866667 1.016667 0.610083 0.016600 96621.691667 0.000000 
209 302.200000 1.183333 0.614833 0.016100 96613.058333 0.000000 
210 299.950000 1.291667 0.731333 0.016800 96605.250000 0.000000 
211 297.458333 1.483333 0.756667 0.014900 96612.850000 0.000000 
212 295.600000 1.500000 0.785500 0.013900 96636.333333 0.000000 
213 294.350000 1.408333 0.800833 0.013100 96658.841667 0.000000 
214 293.608333 1.308333 0.803833 0.012500 96645.575000 0.000000 
215 292.816667 1.300000 0.809500 0.012000 96653.091667 0.000000 
216 291.925000 1.391667 0.821917 0.011500 96643.908333 0.000000 
217 291.300000 1.400000 0.823917 0.011100 96646.666667 0.000000 
218 290.791667 1.491667 0.823083 0.010800 96639.116667 0.000000 
219 290.200000 1.500000 0.832167 0.010500 96640.233333 0.000000 
220 290.791667 1.316667 0.850417 0.011100 96636.366667 0.000000 
221 294.150000 0.933333 0.813500 0.013100 96656.441667 0.000000 
222 297.291667 0.808333 0.709167 0.013800 96677.091667 0.000000 
223 299.475000 0.616667 0.621167 0.013800 96669.816667 0.000000 
224 301.116667 0.416667 0.548000 0.013400 96647.000000 0.000000 
225 302.350000 0.216667 0.505333 0.013300 96645.183333 0.000000 
226 303.366667 0.108333 0.475417 0.013200 96628.241667 0.000000 
227 304.091667 0.375000 0.454667 0.013200 96600.300000 0.000000 
228 304.608333 0.950000 0.442917 0.013300 96580.025000 0.000000 
229 304.650000 1.091667 0.443833 0.013300 96574.000000 0.000000 
230 304.283333 0.916667 0.460500 0.013500 96588.541667 0.000000 
231 302.966667 1.541667 0.530750 0.014500 96616.483333 0.000000 
232 301.841667 1.416667 0.624083 0.016000 96619.175000 0.000000 
233 300.833333 0.941667 0.753000 0.018200 96641.016667 0.000000 
234 299.466667 0.991667 0.745667 0.016600 96600.375000 0.000000 
235 297.241667 1.366667 0.784333 0.015300 96653.700000 0.000000 
236 295.675000 1.491667 0.818250 0.014500 96688.966667 0.000000 
237 294.541667 1.591667 0.826500 0.013600 96726.441667 0.000000 
238 293.991667 1.600000 0.806833 0.012900 96742.891667 0.000000 
239 293.125000 1.600000 0.820583 0.012400 96728.791667 0.000000 
240 292.316667 1.416667 0.837583 0.012000 96720.341667 0.000000 
241 292.066667 1.216667 0.839000 0.011900 96727.308333 0.000000 
242 291.958333 1.016667 0.849083 0.011900 96726.716667 0.000000 
243 292.041667 0.816667 0.852750 0.012100 96745.758333 0.000000 
244 292.325000 0.525000 0.864000 0.012400 96738.241667 0.000000 
245 293.908333 0.500000 0.856750 0.013600 96740.516667 0.000000 
246 295.975000 0.775000 0.790000 0.014200 96777.558333 0.000000 
247 297.433333 1.075000 0.740000 0.014600 96780.716667 0.000000 
